@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,147,0,48,0,1,1,0.753846,1,0.246154,0.859649,1,1,0.043
1,147,0,47,1,0.979167,1,0.757732,1,0.242268,0.86217,0.994872,1.005155,0.045
2,147,0,46,2,0.958333,1,0.761658,1,0.238342,0.864706,0.989744,1.010363,0.046
3,147,0,45,3,0.9375,1,0.765625,1,0.234375,0.867257,0.984615,1.015625,0.059
4,147,0,44,4,0.916667,1,0.769634,1,0.230366,0.869822,0.979487,1.020942,0.06
5,147,0,43,5,0.895833,1,0.773684,1,0.226316,0.872404,0.974359,1.026316,0.062
6,147,0,42,6,0.875,1,0.777778,1,0.222222,0.875,0.969231,1.031746,0.074
7,147,0,41,7,0.854167,1,0.781915,1,0.218085,0.877612,0.964103,1.037234,0.086
8,147,0,40,8,0.833333,1,0.786096,1,0.213904,0.88024,0.958974,1.042781,0.105
9,147,0,39,9,0.8125,1,0.790323,1,0.209677,0.882883,0.953846,1.048387,0.112
10,147,0,38,10,0.791667,1,0.794595,1,0.205405,0.885542,0.948718,1.054054,0.12
11,147,0,37,11,0.770833,1,0.798913,1,0.201087,0.888218,0.94359,1.059783,0.121
12,147,0,36,12,0.75,1,0.803279,1,0.196721,0.890909,0.938462,1.065574,0.147
13,147,0,35,13,0.729167,1,0.807692,1,0.192308,0.893617,0.933333,1.071429,0.165
14,147,0,34,14,0.708333,1,0.812155,1,0.187845,0.896341,0.928205,1.077348,0.173
15,147,0,33,15,0.6875,1,0.816667,1,0.183333,0.899083,0.923077,1.083333,0.192
